# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 100, mean observations per image: 710.53999999999996
100 0.9500133890214667 -0.29485979999251066 -0.013889412883332355 -0.10168256113061065 -2.117691615330298 -4.0365459121344296 1.6525918824229582 100 r_99.png

99 0.046766046434640884 0.4538368880748749 0.8851696252822876 -0.09121324121952057 6.77566447393474e-08 1.0058283805847168e-07 0.5547837615013123 99 r_98.png

98 0.12552890181541443 0.26623985171318054 -0.8644335865974426 0.40757015347480774 1.907113578170083e-09 0.0 0.5547837615013123 98 r_97.png

97 0.018227405846118927 0.2889584004878998 -0.9552695751190186 0.060257989913225174 3.7256981499922404e-08 -1.3969838619232178e-07 0.5547837018966675 97 r_96.png

96 0.22976261377334595 0.8987142443656921 0.3618868291378021 -0.0925188884139061 -2.03079171257059e-08 7.450580596923828e-09 0.5547837615013123 96 r_95.png

95 0.055468637496232986 0.8787053227424622 0.4731891453266144 -0.02987026795744896 2.0200262795810886e-08 -5.587935447692871e-09 0.5547837615013123 95 r_94.png

94 0.15281625092029572 0.5570488572120667 0.7872140407562256 -0.21595799922943115 6.093156201814054e-09 -2.60770320892334e-08 0.5547837615013123 94 r_93.png

93 0.16498348116874695 0.8661660552024841 -0.46340659260749817 0.08826763182878494 6.585139100678816e-09 7.450580596923828e-09 0.5547837615013123 93 r_92.png

92 0.2345028966665268 0.8519650101661682 0.4513635039329529 -0.1242375522851944 3.889752075991737e-09 -2.2351741790771484e-08 0.5547837615013123 92 r_91.png

91 0.2581574022769928 0.5108155608177185 0.7318598628044128 -0.3698694109916687 9.611277107524074e-08 3.725290298461914e-09 0.5547837018966675 91 r_90.png

90 0.3817595839500427 0.8425012230873108 -0.3461855351924896 0.15686582028865814 2.0933503819264843e-08 0.0 0.5547837018966675 90 r_9.png

89 0.08037012070417404 0.2726016342639923 -0.9196287393569946 0.27113083004951477 -4.26265494013478e-08 -5.960464477539063e-08 0.5547837615013123 89 r_89.png

88 0.10773040354251862 0.9538053870201111 -0.27867352962493896 0.03147561848163605 2.47694975641366e-09 3.725290298461914e-09 0.5547837018966675 88 r_88.png

87 0.08847039937973022 0.2747533619403839 0.9113547801971436 -0.29345566034317017 2.7109212652476344e-09 7.450580596923828e-09 0.5547837615013123 87 r_87.png

